,PROVINCE,MKT_CAP_CSRC,PB_LYR
600276.SH,江苏省,429183433844.55,17.323019664007404
603444.SH,福建省,29859721356.0,9.723159804094571
603816.SH,浙江省,24877337482.600002,4.212085961841737
600887.SH,内蒙古自治区,178579708363.52,6.834010845121071
300498.SZ,广东省,160407588319.4,3.555771782443128
603156.SH,河北省,29000895000.0,2.336244985261863
600637.SH,上海,31379256847.19,1.0748578994877709
601717.SH,河南省,8116342576.5,0.7714196469268808
601668.SH,北京,217798721142.08997,0.7857162453754079
600570.SH,浙江省,83037340828.26,18.539410502813435
601989.SH,北京,95768548360.8,1.1174900564129988
603019.SH,天津,53162738369.49,8.782384135316406
603912.SH,江苏省,4464859812.0,5.659068142876538
300632.SZ,福建省,3522971639.76,4.410358502732378
603218.SH,浙江省,11603236007.999998,3.2759204129132082
603708.SH,山东省,22772412000.0,7.805753147991383
601398.SH,北京,1375022283948.9,0.6792023839725265
603883.SH,湖南省,22747174046.88,6.523141950106764
603515.SH,上海,18516001359.949997,3.6917316784736376
601601.SH,上海,186652123000.0,1.507903960723433
603357.SH,安徽省,4781789182.959999,2.0380208774168698
600633.SH,浙江省,12706777781.279999,1.5807275473120401
601166.SH,福建省,340073502593.87,0.6281836533801352
601555.SH,江苏省,30772514940.44,1.5263937268736645
603486.SH,江苏省,11458895280.0,4.62744071573504
603960.SH,上海,5536440000.0,9.133583928841071
601766.SH,北京,150832347897.6,1.3093546477214963
601958.SH,陕西省,19424158488.0,1.479166113910088
603228.SH,广东省,30436720500.0,5.610553458387982
603801.SH,安徽省,5795500692.0,3.0041018171072964
600498.SH,湖北省,40855653880.26,3.561877447003232
603919.SH,甘肃省,5607173971.259999,2.2063602517735417
603788.SH,浙江省,3441893999.24,1.8567166528930854
600050.SH,北京,162573660279.88,1.1342825673323604
603377.SH,北京,9219840000.0,5.22629528790116
601100.SH,江苏省,65126880000.0,11.663601949397682
603888.SH,北京,13754278040.0,4.641139161332216
603636.SH,福建省,7774843486.4800005,3.7697404062791953
603659.SH,上海,35122158854.700005,10.301517417040975
603208.SH,浙江省,9084533417.01,6.924140132671214
600690.SH,山东省,96836283238.9,2.041316062514435
300567.SZ,湖北省,16982852624.92,11.723157734160939
603517.SH,湖南省,33590328057.05,7.35468723832369
603229.SH,浙江省,4665600000.0,7.231410243836421
601952.SH,江苏省,14675700000.0,2.4832780590800105
601966.SH,山东省,26484343056.08,2.4020888470431196
603737.SH,福建省,21226036288.56,12.305558974744162
603393.SH,新疆维吾尔自治区,10855040000.0,4.290440042057565
601899.SH,福建省,78757682983.45999,1.9880999084762667
601369.SH,陕西省,10034202193.34,1.4996296222004082
603660.SH,江苏省,4941363806.099999,2.706792086752875
603681.SH,上海,2975326047.44,2.1795068052834705
603993.SH,河南省,64480069927.95,1.9321536292932249
300766.SZ,浙江省,11754938000.0,6.914893317556011
601988.SH,北京,729248681367.16,0.5500789585866509
300750.SZ,福建省,318186228776.0,8.34368331336983
600518.SH,广东省,13777596839.75,0.631706670208602
601985.SH,北京,67554054983.37999,1.3496307350145542
600893.SH,陕西省,55953631471.5,1.9502866548718465
601865.SH,浙江省,19455000000.0,5.604282185939139
002714.SZ,河南省,271828206102.6,11.763515700819013
601088.SH,北京,261547861966.3,0.885902151546716
300601.SZ,广东省,86259583457.9,31.318915054105197
002493.SZ,浙江省,75430381922.5,3.3443459800338218
601155.SH,江苏省,72869623965.94,1.8962928959722487
600703.SH,湖北省,98086119518.40001,4.51069004972874
600718.SH,辽宁省,14138173957.1,1.6171191466132664
603000.SH,北京,25729430873.12,8.058135159951018
603126.SH,天津,2588520000.0,1.4812091242365228
601800.SH,北京,96327330484.99998,0.6149376659712079
601005.SH,重庆,12738322101.84,0.698921084196574
601898.SH,北京,34869121524.0,0.520675941116044
002841.SZ,广东省,50518787842.95,10.249947909165645
601328.SH,上海,201749441037.09998,0.5204874680827303
601390.SH,北京,117701257055.74,0.6417241482795174
