,manager,贵州省,安徽省,广东省,四川省,浙江省,江苏省,湖南省,内蒙古自治区,山东省,北京,吉林省,江西省,福建省,广西壮族自治区,上海,湖北省,河南省,新疆维吾尔自治区,陕西省,云南省,重庆,甘肃省,天津,辽宁省,河北省,香港特别行政区,黑龙江省,山西省,海南省,西藏自治区,宁夏回族自治区
78,胡宇飞,[7.1604],0,"[10.6899, 10.6666, 8.6707, 6.1419, 5.6605, 3.5514, 3.4152]",0,0,[5.1312],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[3.2865],0,0,0,0,0
79,邹新进,0,0,"[7.7745, 6.933]",0,0,"[6.898, 4.8348]",0,0,[4.982],"[7.7957, 4.8705]",0,0,[6.5199],0,"[5.9074, 5.1101]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,施敏佳,0,0,"[6.4342, 5.5121, 5.1343]",0,0,0,[5.0527],0,0,"[6.0661, 5.4898, 5.0387]",0,0,[5.309],0,"[5.0665, 4.7831]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,萧嘉倩,0,[5.2837],[4.959],0,[5.1125],0,0,0,"[5.1394, 4.8738]","[8.5943, 7.2492, 5.215, 5.0372]",0,0,0,[4.8178],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,王东杰,[6.8221],0,"[8.4807, 5.9443, 4.2001]",[7.1125],0,"[9.5347, 5.0092]",0,0,0,0,[4.9096],0,[5.0314],0,0,0,0,0,0,0,0,0,0,0,[5.8429],0,0,0,0,0,0
83,左金保,0,[5.834],"[8.2703, 5.0668, 5.022]","[5.4237, 4.4907]",[4.4541],[5.8986],0,0,0,0,[4.7966],0,0,0,0,0,0,0,0,0,[5.3288],0,0,0,0,0,0,0,0,0,0
84,观富钦,0,0,"[8.462, 6.7806, 5.3281, 5.022]",0,[5.6349],[3.9417],[3.9914],0,[5.3247],[5.5451],0,0,0,0,0,[4.6573],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,陆彬,0,0,[9.7481],[5.6562],"[4.6863, 4.279]","[10.1236, 4.3923]",0,0,0,0,0,0,[5.6976],0,[5.0123],0,0,0,0,0,0,0,0,[6.324],0,0,0,[9.5625],0,0,0
86,赵晓东,0,0,[5.9378],0,[5.0099],"[7.2816, 6.5986, 3.615]",0,[4.7307],"[7.4353, 4.4208]",0,0,0,[5.1351],0,0,[6.8961],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,刘晨,0,[5.4229],"[5.1333, 4.7876, 4.291]",0,"[5.2686, 4.9772]",0,0,0,0,"[5.2829, 5.1085, 4.3118]",0,0,0,0,[8.4941],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,王筱苓,[6.726],0,"[8.0378, 6.8467, 4.9763, 4.9112]",[4.3235],[6.5513],[3.8307],0,0,[5.0249],0,0,0,0,0,0,0,[5.1221],0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,李林益,0,[5.4176],[5.2113],0,[4.9651],0,[8.8828],0,"[5.7196, 5.4345]",[4.4049],0,0,[6.0551],0,0,0,[4.5479],0,[4.3596],0,0,0,0,0,0,0,0,0,0,0,0
90,肖立强,0,0,"[7.1149, 6.7688, 6.3444, 5.5332, 5.0796, 4.8113]",0,0,[5.8092],0,0,0,[4.6159],0,0,[4.9645],0,[4.749],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,张朋,[4.7539],[6.0097],[8.3565],0,"[7.3709, 4.9808, 4.917]","[5.335, 4.8433]",[4.9601],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[5.0395],0,0,0,0,0,0,0
92,张琦,0,0,"[8.6273, 6.7845, 6.6508, 4.3067, 3.7218]",0,0,0,0,0,[7.0286],"[5.6466, 4.7285]",0,0,0,0,[5.4068],[4.9593],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,罗安安,[4.4885],0,"[8.1193, 5.4119, 4.9769]",[4.6987],[5.9558],"[7.3054, 5.1024]",0,0,0,[4.9491],[4.7535],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,周伟锋,0,0,"[4.9241, 4.3034]",[9.4668],"[9.4071, 6.4802]",[6.2125],[4.1838],0,0,0,0,0,[6.1812],0,[4.5837],[9.5131],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,韩冬燕,0,0,0,0,"[5.3632, 5.0325]",0,0,[8.3567],[4.8714],"[9.9786, 4.9961, 4.9235]",0,0,0,0,0,0,[4.813],0,[4.7928],[5.3004],0,0,0,0,0,0,0,0,0,0,0
96,王凯,0,[7.3016],"[9.4364, 5.5513, 4.792, 4.4966]",0,[4.4752],0,0,0,0,"[8.3806, 7.454, 4.9855, 4.8936]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,余昊,0,0,"[8.5135, 6.3006]",0,[3.8843],0,0,0,"[11.409, 7.2605, 3.7026]","[5.3415, 3.844]",0,0,[5.2851],0,[4.8935],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,陶灿,[7.0686],0,[6.6016],0,[6.1188],"[6.8364, 4.3489, 4.2151, 4.0986]",0,0,0,[4.9641],0,0,[4.8741],0,0,0,0,0,0,0,0,0,0,[6.4315],0,0,0,0,0,0,0
99,李亚,0,0,"[5.0818, 4.8711]",0,[4.6843],0,0,0,0,"[7.8673, 6.1336, 5.8129, 5.1117, 4.9886]",0,0,[4.1915],0,0,0,0,0,0,0,[4.7236],0,0,0,0,0,0,0,0,0,0
100,吴云峰,0,0,0,0,0,[6.2472],0,0,"[9.2994, 7.233, 6.0367, 4.4867, 3.754]",0,0,0,"[6.8583, 4.4756]",0,0,0,0,0,0,0,0,[7.7627],[4.863],0,0,0,0,0,0,0,0
101,马君,[7.4719],[4.1754],"[5.3265, 4.5748]","[7.7892, 7.57]",0,"[7.6079, 3.8204]",0,[7.2479],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[4.8587],0,0,0
102,蒲世林,0,0,"[7.2397, 4.8062, 4.2728]",0,"[5.3195, 4.954]",0,0,[5.9687],"[4.9084, 4.3087]",[3.4643],0,0,0,0,[5.7873],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,兰兰,0,0,"[4.7399, 4.3507]",0,"[4.7922, 4.4688]","[8.7647, 5.3395, 5.3201]",0,0,0,[6.2165],[9.3638],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[7.6854],0,0
104,高源,0,0,"[6.0194, 4.8188]",0,0,[5.3653],[5.7252],0,[4.7896],"[4.6051, 4.441]",0,0,0,0,"[6.2799, 6.0487, 4.7855]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,颜媛,0,0,[4.1748],0,"[7.8292, 4.4333]","[8.7471, 5.0591]",[5.63],0,"[6.707999999999998, 4.7802]",0,[8.8003],0,0,0,0,0,0,0,0,0,[4.6751],0,0,0,0,0,0,0,0,0,0
106,楼慧源,0,0,"[4.765, 4.7495]",0,"[5.7591, 4.6833]","[8.8251, 6.9471, 3.8482]",[4.6314],0,[6.8685],0,[6.2882],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,王翔,[8.0454],[3.5647],"[8.0653, 4.7321]","[8.1026, 4.3147]",0,[4.3061],[5.8947],0,0,0,0,0,[6.8193],0,0,0,[8.8426],0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,陈叶雁南,[8.9975],0,"[6.8188, 5.9386, 5.1659, 4.7292, 4.5696, 4.4963]",0,[6.6514],[4.2827],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[5.4251],0,0,0,0,0
109,光磊,0,0,"[5.2468, 4.3282, 3.5807]",0,[7.1099],[4.7106],[7.6566],0,[6.5005],0,[9.3962],0,0,0,[3.4875],0,0,0,0,0,0,0,[8.6895],0,0,0,0,0,0,0,0
110,钟贇,[8.3791],0,"[8.7805, 5.6843, 3.4958]","[6.4816, 3.9752]",[4.6629],[7.3114],0,0,0,0,0,0,0,0,0,[3.2839],[7.7692],0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,杨威风,0,[5.8038],"[5.5392, 5.1662, 4.6566]",0,0,"[5.7414, 4.1946]",0,0,0,"[4.6913, 4.0166]",0,0,0,0,0,0,0,0,0,0,0,0,[4.5376],0,0,[5.4634],0,0,0,0,0
