manager,山西省,湖北省,河北省,云南省,广西壮族自治区,海南省,湖南省,贵州省,山东省,重庆,河南省,浙江省,北京,陕西省,安徽省,江西省,香港特别行政区,上海,新疆维吾尔自治区,黑龙江省,江苏省,福建省,吉林省,天津,广东省,甘肃省,内蒙古自治区,四川省,辽宁省
史程,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1234888323372918,0.0,0.0,0.0,0.23836956696651274,0.0,0.0,,0.0,0.0,0.0,0.0,0.021236691074779244,0.0,0.0,0.0,0.0
李欣,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.03828387240702431,0.0,0.0,0.0,0.0,0.0,0.0,,0.40839782325107943,0.5276444494825798,0.0,0.0,0.7405686812313104,0.0,0.0,0.0,0.0
吴云峰,0.0,0.0,,,,,0.0,0.0,0.6596571747996632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.11328325809408323,0.4197245995925075,0.0,0.0,0.0,1.0,0.0,0.0,0.0
吴振翔,0.0,0.0,,,,,0.0,0.720427529974783,0.0,0.0,0.0,0.0,0.07916086425048498,0.0,0.640096533874296,0.0,0.0,0.0,0.0,,0.3367376329204472,0.0,0.0,0.0,0.5197703133286516,0.0,0.0,0.37739445638750385,0.0
孙迪,0.0,0.4922725179553883,,,,,0.0,0.0,0.9842139329280626,0.0,0.0,0.1784186944439607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.10752710909922175,0.4866416483454197,0.0,0.0,0.2698571270170215,0.0,0.0,0.0,0.0
颜媛,0.0,0.0,,,,,0.5817753872374006,0.0,0.4197475700305608,0.0,0.0,0.39860450112241963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.7069380772828994,0.0,0.9387497187813174,0.0,0.034425065604502626,0.0,0.0,0.0,0.0
姚锦,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.8035305425014325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.22603275623576735,0.9391759466143232,0.7878665216828126,0.0,0.23239959910985875,0.0,0.0,0.4977101724374513,0.0
马君,1.0,0.0,,,,,0.0,0.9020517314706226,0.0,0.0,0.0,0.0,0.0,0.0,0.2920779266202651,0.0,0.0,0.0,0.0,,0.24232993511024842,0.0,0.0,0.0,0.006539606381579683,0.0,1.0,0.9265111146686181,0.0
彭敢,0.0,0.0,,,,,0.0,0.0,0.397354707502657,0.0,0.0,0.0,0.05065379958119109,0.0,0.0,0.0,0.0,0.0,0.0,,0.056407926772801285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
杜晓海,0.0,0.0,,,,,0.0,0.0,0.41624282409705904,0.0,0.047629794952813234,0.09229133651276207,0.03405323541959662,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1474788359401793,0.0,0.0,0.0,0.0
童立,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.18006977494387902,0.35614856791960525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.8668072704275683,0.0,0.0,0.11766198703639555,0.0,0.0,0.0,0.0
王翔,0.0,0.0,,,,,0.3230353164893399,0.9288595620738985,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12205529665605223,0.20902777570617587,0.0,0.0,0.14590308154212053,0.0,0.0,0.7579820930338926,0.0
李宜璇,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.07134558499747484,0.0,1.0,0.0,0.0,0.0,0.18207462357140164,1.0,,0.0,0.0,0.0,0.0,0.04527806596293142,0.0,0.0,0.1337642363811005,0.0
林博程,0.0,0.0,,,,,0.0,0.9638631491672358,0.0,0.0,0.0,0.0,0.20861329632053022,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.7007884350920733,0.0,0.0,0.5153297072143894,0.0,0.0,0.72008130174267,0.0
左金保,0.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0,0.2945764783638795,0.0,0.0,0.6930502605715085,0.0,0.0,0.0,0.0,,0.14527968802751634,0.0,0.6503855252483246,0.0,0.46567485609126946,0.0,0.0,0.7535522343685678,0.0
钟贇,0.0,0.5306069688719411,,,,,0.0,0.9417614991043005,0.0,0.0,0.9631087817260298,0.5227539790542484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1555815467809243,0.0,0.0,0.0,0.36492907493568494,0.0,0.0,0.6085967159127292,0.0
提云涛,0.0,0.0,,,,,0.0,0.7840612770052283,0.16900745448059518,0.0,0.0,0.0,0.0,0.0,0.9592669021720122,0.0,0.0,0.15474889507372455,0.0,,0.0,0.37317620316149624,0.0,0.0,0.5649514659909524,0.0,0.0,0.3414158624159539,0.0
兰乔,0.0,0.319957343329644,,,,,0.0,0.00743752658100602,0.0,0.0,0.2327796864246447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
潘龙玲,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.2143070976558969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.9763082040800554,0.0,0.0,1.0,0.097879855012545,0.0,0.0,0.0,0.0
刘晨,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.6437389551338984,0.11277942155612462,0.0,0.9491518309957679,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.01895912106727545,0.0,0.0,0.0,0.0
张丹华,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.4381450181071535,0.2492350010176988,0.0,0.0,0.0,0.0,0.0,0.0,,0.7169890980258902,0.07129624933998764,0.5679952687087118,0.0,0.03216124826050295,0.0,0.0,0.0,0.0
庞琳琳,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.08642849832510933,0.0,0.0,0.5509591642924977,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.5408376747340363,0.0,0.0,0.0,0.0
吴培文,0.0,0.0,,,,,0.0,0.41151263644916447,0.2735669340276629,0.0,0.0,0.024223034355908606,0.0,0.0,0.9796369486901472,0.0,0.0,0.09712225697453869,0.0,,0.0,0.0,0.0,0.0,0.32518967931367343,0.0,0.1544989469541834,0.0,0.0
聂毅翔,0.0,0.0,,,,,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.33797833279094397,0.0,0.0,0.0,0.7616304330334873,0.0,0.0,,0.0,0.899057636603912,0.0,0.0,0.0727900544175704,0.0,0.0,0.0,0.0
樊勇,0.0,1.0,,,,,0.0,0.0,0.0,0.0,0.0,0.4302553245480261,0.0,0.0,0.0,0.6950427350427351,0.0,0.2353282120022897,0.0,,0.0,0.9193502197058061,0.0,0.0,0.09250148915559506,0.0,0.0,0.0,0.0
姚爽,0.0,0.0,,,,,0.0,0.8715412472774607,0.0,0.0,0.5881112197785969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.19309052833802176,0.0,0.0,0.15052548067707802,0.0,0.0,1.0,0.0
李游,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.15545301803044362,0.18123573133910006,0.4568259988109598,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.42546260526637636,0.0,0.0,0.0,0.0,0.0,0.20380551616886977,0.0
王平,0.0,0.0,,,,,0.0,0.6560166509865581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024732763060381104,0.0,,0.3197586705002103,0.29316779080069555,0.0,0.0,0.4804338277702377,0.0,0.0,0.19642775465398163,0.0
李龑,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.18272759162004082,0.08221281058498704,0.0,0.0,0.0,0.0,0.301758371510039,0.0,,0.18588700768483082,0.0,0.0,0.0,0.7379234423604383,0.0,0.0,0.0,0.0
王凯,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.026078945033365754,0.2056429958751577,0.0,0.7138819908362772,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2482022690175699,0.0,0.0,0.0,0.0
林晶,0.0,0.0,,,,,0.3255616415084516,0.0,0.0,0.0,0.0,0.0,0.1512334853940104,0.0,0.0,0.0,0.0,0.35482892708652963,0.0,,0.15817524097584737,0.9638298316632905,0.05091592072700994,0.0,0.18991160475532717,0.0,0.0,0.0,0.0
