manager,山西省,湖北省,河北省,云南省,广西壮族自治区,海南省,湖南省,贵州省,山东省,重庆,河南省,浙江省,北京,陕西省,安徽省,江西省,香港特别行政区,上海,新疆维吾尔自治区,黑龙江省,江苏省,福建省,吉林省,天津,广东省,甘肃省,内蒙古自治区,四川省,辽宁省
董梁,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08414117647058823,0.0,0.0,0.0,0.0,0.196925,0.0,0.0,0.0,0.05901875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45505
潘明,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4543861538461539,0.0,0.0,0.0,0.0,0.624371875,0.0,0.0,0.34965897435897436,0.0,0.0,0.0,0.03527227722772277,0.0,0.0,0.0,0.0
陶灿,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.56955,0.0,0.0,0.0,1.664036363636364,0.33783384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9244512820512822,3.428235294117648,0.0,0.0,0.6408564356435643,0.0,0.0,0.0,1.2779
李亚,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7872666666666667,0.0,0.0,0.50242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3415588235294118,0.0,0.0,0.6415326732673269,0.0,0.0,0.0,0.0
范妍,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9516,0.0,0.049346153846153845,0.0,0.0,0.0,0.0,0.11138125,0.0,0.0,0.0,2.114411764705882,0.0,0.0,1.1536594059405945,0.0,0.0,0.0,0.0
刘伟林,0.0,0.0,0.0,0.0,0.0,0.0,2.0771545454545453,98.13299999999997,0.0,0.0,0.0,1.737977272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.943192307692308,0.0,28.208825000000004,0.0,1.7037514851485145,0.0,0.0,11.092464285714284,0.0
袁芳,0.0,0.31347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6431138461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9195,0.0,0.0,1.5010663366336634,0.0,0.0,0.0,0.0
史高飞,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24171363636363638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
周大鹏,0.0,0.0,0.0,0.0,0.0,0.0,1.088109090909091,74.88640000000001,0.0,0.0,0.0,0.0,0.02906153846153846,0.0,0.0,0.0,0.0,0.065609375,0.0,0.0,1.7770974358974356,0.0,0.0,0.0,0.0,0.0,0.0,6.056164285714284,0.0
应帅,0.0,0.6663600000000001,0.0,0.0,0.0,0.0,0.0,115.22714999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6788615384615385,0.0,0.0,0.0,0.9844237623762374,0.0,0.0,0.0,0.0
杨威风,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06179384615384616,0.0,0.0,0.0,0.36422666666666664,0.0,0.0,0.0,0.4699794871794871,0.0,0.0,0.0,0.2564950495049505,0.0,0.0,0.0,0.0
王筱苓,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.10839999999999,0.14779117647058823,0.0,2.3704125,0.5007886363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2946692307692308,0.0,0.0,0.0,3.5378019801980196,0.0,0.0,6.225857142857143,0.0
徐治彪,0.0,1.23779,0.0,0.0,0.0,0.0,2.467381818181818,0.0,0.16093823529411763,0.0,0.0,0.6358704545454544,0.0,0.0,0.3009777777777778,0.0,0.0,0.164909375,0.0,0.0,0.8433615384615385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
刘斌,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09220625,0.0,0.0,0.0,0.0,0.0,0.0,0.2957712871287129,0.66125,0.0,0.20254285714285714,0.0
饶玉涵,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.67105000000001,0.17824411764705883,0.0,0.0,1.6851227272727276,0.08158923076923077,0.0,0.0,0.0,0.0,0.11138125,0.0,0.0,1.1134871794871795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
姚志鹏,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.76715,0.44312222222222225,0.0,0.0,0.409821875,0.0,0.0,1.5857282051282051,3.917488235294118,0.0,0.0,0.20033465346534654,0.0,0.0,1.755407142857143,0.0
张琦,0.0,0.4117,0.0,0.0,0.0,0.0,0.0,0.0,0.8680088235294118,0.0,0.0,0.0,0.6229230769230769,0.0,0.0,0.0,0.0,0.25353125,0.0,0.0,0.0,0.0,0.0,0.0,0.661580198019802,0.0,0.0,0.0,0.0
李威,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.59059999999998,0.0,0.0,0.0,0.45019090909090914,0.3358215384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0646384615384614,1.6061588235294117,15.128150000000005,0.0,1.1888019801980199,0.0,0.0,7.320935714285714,0.0
张自力,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.71489999999997,0.0,0.0,2.1702749999999997,0.6670545454545456,0.0,0.0,0.0,0.8438399999999999,0.0,0.0,0.0,0.0,1.1501717948717949,0.0,12.902150000000004,0.0,1.7710594059405946,0.0,0.0,4.100014285714286,0.0
张继圣,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5209470588235294,0.0,0.0,1.0000068181818182,0.0,2.90545,0.0,0.0,0.0,0.0,0.0,0.0,2.306482051282051,0.0,0.0,0.0,0.1634049504950495,0.0,0.0,0.0,0.0
张林,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7202,0.0,0.0,0.0,0.5276923076923077,0.0,0.0,0.0,0.0,0.5522843749999999,0.0,0.0,0.7571076923076924,0.0,0.0,0.0,1.1284910891089108,0.0,0.0,0.0,0.0
何珅华,0.0,0.4117,0.0,0.0,0.0,0.0,0.0,101.85195,0.0,0.0,0.0,1.727643181818182,0.0,0.0,0.2407111111111111,0.0,0.0,0.0,0.0,0.0,0.7415025641025641,0.0,0.0,0.0,1.433515841584159,0.0,0.0,8.494228571428568,1.2779
韩林,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7530117647058823,0.0,0.0,1.7880659090909101,0.0,0.0,0.6264222222222222,0.0,0.0,0.0,0.0,0.0,0.2854358974358974,0.1620235294117647,0.0,0.0,1.1255435643564355,0.0,0.0,0.0,0.0
林景艺,0.361875,0.38436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040176923076923075,0.0,0.0,0.0,0.4921376237623763,0.0,0.0,2.7888142857142846,0.0
沙炜,0.0,0.60933,0.0,0.0,0.0,0.0,0.0,0.0,0.20916470588235295,0.0,0.0,0.0,0.0,0.0,0.7941944444444444,0.0,0.0,0.089475,0.0,0.0,0.6483794871794872,1.3324529411764705,0.0,0.0,1.3494999999999997,0.0,0.0,0.0,0.0
金笑非,0.0,0.0,0.0,0.0,0.0,0.0,2.013590909090909,0.0,0.0,0.0,0.0,1.277884090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.201192307692308,0.0,28.576124999999998,0.0,0.5429683168316831,0.0,0.0,0.0,0.0
贺宁,0.0,0.0,0.0,0.0,0.0,0.0,2.0771545454545453,0.0,0.0,0.0,0.0,1.519781818181818,0.12503692307692307,0.0,0.7440722222222222,0.0,0.0,0.664259375,0.0,0.0,0.0,0.0,0.0,0.0,0.1630168316831683,0.0,0.0,0.0,0.0
杨柯,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4861625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5245411764705883,0.0,0.0,1.198409900990099,0.0,0.0,1.2323,0.0
姜锋,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15878823529411765,0.0,0.0,0.8868636363636362,0.16521076923076922,0.0,0.0,0.0,0.0,0.0,1.883075,0.0,0.0,2.997558823529412,0.0,0.0,0.027794059405940593,0.0,0.0,0.28877857142857144,0.0
吴国清,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19119117647058823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.741490625,0.0,0.0,0.0,0.0,0.0,0.0,0.6751792079207921,0.0,0.0,0.0,0.0
谢泽林,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.32334999999998,0.0,0.0,0.0,0.0,0.26298307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6826000000000001,0.0,0.0,0.0,1.3929297029702974,0.0,0.0,0.0,0.0
杜洋,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4312,0.0,0.9062386363636364,0.0,0.0,0.0,0.0,0.0,0.0,1.64615,0.0,0.11703076923076922,0.0,0.0,0.0,0.07177425742574256,0.0,0.0,0.0,0.0
鲍无可,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8680088235294118,0.0,0.0,0.0,0.0,0.0,0.14356666666666668,0.0,0.36422666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05703366336633663,0.0,0.0,0.28877857142857144,0.0
陈一峰,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6525882352941177,0.0,0.0,1.8146704545454548,0.1749923076923077,0.0,0.23196666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.190925000000004,0.0,2.093762376237624,0.0,0.0,0.0,0.0
