index,年振幅,区间换,非系统,波动率,duvol
000661.SZ,48.07606263982102,302.1506873739687,0.041457372508769706,33.24947908611031,-43.153009775554196
300014.SZ,75.2591706539075,759.5621479692876,0.06477335175808835,56.474478732883526,-20.96000395351536
000568.SZ,34.263959390862944,202.50424857201818,0.042504785740069856,38.99142059314556,-47.557005981463725
002624.SZ,41.20978704123244,295.6115136213298,0.06918657809727145,49.977515648414325,-49.785300562969724
018007.SH,0.0,0.0,0.0,0.0,100.24775801963641
300383.SZ,61.88340807174888,599.7327250994115,0.04699754206134969,35.8576697242527,-26.99939596012304
600201.SH,44.71153846153847,395.5621345090971,0.04141668227739724,33.075071957058796,-44.16320714406035
300207.SZ,72.95081967213117,544.0002548986406,0.06864833681630504,54.73213947835929,-8.633977068198464
600036.SH,30.46833422032995,59.90480910224181,0.021909266809508547,23.24843014627946,-8.472071303639487
002035.SZ,30.625931445603584,480.5790131843546,0.04210593565569921,41.48678670825297,-76.29947285914626
000968.SZ,37.719298245614034,158.63356312663973,0.040352939206846336,37.40425549541202,-28.431374859376174
601318.SH,26.562134331851155,133.35147385638152,0.017774786402839318,23.824997449632516,-17.63799446808568
300036.SZ,62.61916708479678,834.9229159679089,0.05423820260445484,44.88192737343301,-16.73219902785034
601166.SH,27.72727272727274,88.47328719948155,0.024565820557792488,23.637270055672595,-20.44321199397052
601088.SH,25.808219178082194,32.70026124319838,0.023185588700268676,23.740144935896517,7.333129927334819
300651.SZ,25.383491599707824,606.3935412186033,0.05242386590496557,37.988894481775965,-43.910241750864614
603345.SH,105.70611008247768,293.89272974808,0.05714533880228606,41.0859275728766,-51.64923291126118
002332.SZ,71.52988855116517,614.7991026097783,0.055699264983418525,40.61215666305832,-57.7193936100931
002212.SZ,71.59389794844816,248.81197471163492,0.04891571407322329,36.49003253438211,-68.90684268738568
019611.SH,0.0,0.0,0.0,0.0,-72.75499639423292
000895.SZ,61.21253875301414,343.11700926911567,0.04560511251881862,34.823901194618465,-76.91861835233856
300122.SZ,73.35884011276683,301.44049423135885,0.044170774314550694,37.18434079599602,-6.458904528761043
300357.SZ,48.85617214043037,277.53579540450187,0.05472056237849879,42.50413658998433,-14.184319613022303
002768.SZ,170.0300558179476,924.8360082205746,0.09305002425072732,73.26848317890665,-72.56179077234887
300012.SZ,31.72367538564722,320.61623739593546,0.04467094312686194,34.13380352677382,-43.49719982367331
601818.SH,24.263038548752824,59.98225950851149,0.02197648186054994,20.598846647907582,-56.623658127864196
300753.SZ,36.285574092247295,1805.144291153331,0.050739273373355306,37.66611251264069,-28.0508064966973
000651.SZ,33.79078987496189,169.86816728345144,0.0303366927302563,29.48315648287444,-75.61615978682951
002384.SZ,72.18142548596114,1063.9386404520876,0.0575678693646319,57.479849341552494,-16.002672233581368
002142.SZ,27.637655417406755,100.79386740174385,0.032307108220229856,32.44073058001437,-33.821782115022074
300144.SZ,30.637334196053057,196.71216872388015,0.043155772267927474,33.41759229843855,1.4095811551420394
