,EV3,PB_LYR
601966.SH,26484343056.08,2.4020888470431196
3690.HK,650263733470.7999,6.323719310332856
300590.SZ,7223447699.999999,7.190758341439766
603517.SH,33590328057.05,7.35468723832369
300136.SZ,41990542526.1,8.904458825841118
600885.SH,24003664820.96,4.875289031222279
601398.SH,1780078008132.7485,0.6792023839725265
3808.HK,49200901300.98,1.6167077582571732
600426.SH,28368946040.000004,1.993434431915713
600546.SH,20716666663.0,2.455475290933875
600837.SH,125382265715.40903,1.1785295718941637
002714.SZ,271828206102.6,11.763515700819013
601166.SH,340073502593.87,0.6281836533801352
0914.HK,343883276544.48804,2.06058616278966
002157.SZ,46186614125.729996,4.916990295582128
600176.SH,30435046517.809998,1.945150476336893
000002.SZ,291673296104.015,1.5782019309516746
300760.SZ,323629171921.86,17.4058653155977
002643.SZ,14173386821.85,2.941372784366107
300207.SZ,24964943116.21,4.3270123251901715
002027.SZ,73389401400.0,5.3264061612376885
002142.SZ,147631083519.44,1.8253279389612245
603993.SH,73425040488.9996,1.9321536292932249
002405.SZ,29776528920.6,3.817726661136534
002236.SZ,52136873616.799995,3.3329188898130795
600104.SH,237057431095.84998,0.9493613262690678
000069.SZ,53070216505.049995,0.7732023257931763
2382.HK,126905510290.0,9.056037707307985
000858.SZ,554681783914.5,7.4663689932941955
601668.SH,217798721142.09003,0.7857162453754079
600570.SH,83037340828.26,18.539410502813435
002555.SZ,80181074418.12,11.406681287197761
002415.SZ,297545140560.64,6.626245236158396
601601.SH,248750459608.0,1.507903960723433
002202.SZ,41100160480.59979,1.4241899639117968
000708.SZ,81057123533.98,3.2108021986131026
300012.SZ,29039938109.28,9.227408787640794
000977.SZ,61636663008.83,6.196437079029677
603899.SH,48484000000.0,11.539687149193346
601012.SH,117686922818.4,4.259575083457792
000338.SZ,112659812603.828,2.5227590503865596
000878.SZ,16741833816.0,1.9997089447677228
002624.SZ,58933937491.8,6.193978501575448
002367.SZ,6261573592.95,2.1244583477368835
300014.SZ,65591374557.600006,8.684037340436634
002078.SZ,22289248935.2,1.5275616699571897
300450.SZ,34438105768.9,8.038474021932537
2601.HK,272370422661.1773,1.1146305201567028
603259.SH,170537005106.4557,9.88067173291983
300285.SZ,23361020680.75,6.396308896672956
603659.SH,35122158854.700005,10.301517417040975
000725.SZ,133085136920.67139,1.4130492632298948
600068.SH,30299435370.96,0.5767572455920708
002705.SZ,24036171821.149998,5.590794266442394
601138.SH,286703772621.56,3.211263317232351
300271.SZ,22096366737.9,3.722004178992037
000625.SZ,44962375375.0207,1.1649841409120543
600406.SH,92438816360.0,3.0284910011648267
600309.SH,147034334495.58,3.470730014119768
603806.SH,25727598000.0,3.942936158541996
600536.SH,44016087598.0,19.366329260143036
0548.HK,21386042638.949722,0.9100568385935253
600763.SH,40990617600.0,22.958250402178205
002410.SZ,59010908587.200005,18.05041715758812
002616.SZ,7426250271.44,3.0831616131566166
000999.SZ,28466412000.0,2.2657405702017694
600170.SH,28850248638.72,0.8728180714238412
600585.SH,314061718802.55,2.350543182349443
601222.SH,9122317799.37,0.8864686338110411
002456.SZ,42836171903.75,4.528715895741853
300130.SZ,7003053374.1,2.855988937745031
0981.HK,88838799234.23999,1.8300835675277853
600745.SH,128477052938.7,6.063277691997607
600466.SH,16890529795.999998,0.879103761352481
600383.SH,59863378164.72,1.1066529160036567
603444.SH,29859721356.0,9.723159804094571
601658.SH,429352233681.8304,0.9066148786366074
300498.SZ,160407588319.4,3.555771782443128
002273.SZ,18447978229.8,4.011852915288249
000157.SZ,52987807618.26352,1.3991705520101991
601636.SH,14725599207.2,1.787681856159554
002025.SZ,11879010000.0,3.918160567099443
600565.SH,6942532409.400001,0.7599393454109189
002821.SZ,43490591169.520004,14.280259821879914
002185.SZ,36880450798.04,4.747675051191519
000913.SZ,4635137920.0,1.7178270724160665
000623.SZ,18108462018.78,0.8138818034851756
603721.SH,3243500000.0,5.965448744361827
300699.SZ,28892829000.0,8.902462719191027
600999.SH,112633101177.7416,1.4470379653200915
600690.SH,98107775497.73679,2.041316062514435
603345.SH,24869187241.289997,9.064250217693251
300220.SZ,6545700000.0,24.70198627412322
000895.SZ,142164856197.69998,8.622479579224409
000028.SZ,16431854978.06688,1.3790154192028026
600048.SH,189610208324.18,1.2152790981470125
600009.SH,132960132912.0,4.154429829271251
603658.SH,58781601742.49,22.989213892488777
603883.SH,22747174046.88,6.523141950106764
600674.SH,39046986057.6,1.4393122329596535
002376.SZ,6756980880.3,1.8941547706778088
300357.SZ,28221177600.0,22.203988989166625
300037.SZ,17512101881.190002,4.967228001842703
603160.SH,109968406634.94,17.077366868477547
002466.SZ,27710384425.08,3.07697476170757
600438.SH,62859964327.44,3.5762528456658225
2333.HK,72298232520.0946,0.8206200106823336
603377.SH,9219840000.0,5.22629528790116
300003.SZ,70553455671.6,9.42878021108406
600967.SH,16642873397.449999,1.813148585098799
1088.HK,332263859070.49316,0.6754881018738323
0268.HK,38884431949.28,5.8179915394883714
300529.SZ,49130145296.0,22.93154291784018
300558.SZ,40645360000.0,16.5188795466805
000538.SZ,116869629472.32999,3.0805348168347684
300523.SZ,9875467733.1,6.502669923377441
2020.HK,183467701200.00003,8.18391340348963
601688.SH,154635732430.68826,1.3570070916833534
300166.SZ,16434324102.2,2.9680147204388327
300274.SZ,16068645735.5,1.869708571570829
300379.SZ,13614712267.199999,8.224910891730701
300724.SZ,22003570000.0,8.621236067064345
002299.SZ,26864426464.079998,2.5448541702548133
000100.SZ,64124799528.060005,2.1295468425740403
600050.SH,162573660279.88,1.1342825673323604
2238.HK,104618591813.74327,0.8405846206205135
300496.SZ,25740840453.15,13.434804817518541
600720.SH,13196934794.0,1.940023891428918
002304.SZ,150427542160.0,4.120305129840315
601211.SH,138741170543.35822,1.0806034328372731
2269.HK,162353808864.0,11.375873393472473
0168.HK,75461486120.81625,3.2066895566584996
002812.SZ,44778614812.0,9.839177005371527
002841.SZ,50518787842.95,10.249947909165645
300413.SZ,84567931772.5,9.627651088589932
601689.SH,25741701075.6,3.4901671385567425
603043.SH,12055246130.56,5.506570075504624
603008.SH,4529375573.46,1.7061076659968994
600820.SH,17921347735.8,0.8162957162933496
603501.SH,180461601684.06,22.767174450439047
601799.SH,29882757654.719997,6.116922826616777
002230.SZ,75345167546.09001,6.598829875215766
600183.SH,73634789849.0,8.335469391568338
300188.SZ,17411314961.54,5.880633134563483
002531.SZ,10852016186.699999,1.8678537158753221
000783.SZ,35610421661.64,1.273411097887062
601877.SH,54759826343.97,2.2608568329091034
