,PROVINCE,EV3,PB_LYR,EPS_TTM
603338.SH,浙江省,24.127448828973737,9.381063686909343,2.0615345757447714
300750.SZ,福建省,26.4859026733969,8.34368331336983,1.9267877046713962
600511.SH,北京,23.90323493808591,2.282035145228295,2.0535693009665157
300010.SZ,北京,23.44997512202281,4.563002578596389,-0.15901999331362987
000961.SZ,江苏省,24.16245068698571,1.4534804577767484,1.1432451906932677
300751.SZ,江苏省,22.956929484474035,6.868938233116105,4.785916695576923
601966.SH,山东省,23.999819567258452,2.4020888470431196,1.4622304359084202
300590.SZ,上海,22.700598196650006,7.190758341439766,0.9567994099325037
603517.SH,湖南省,24.2375040070323,7.35468723832369,1.1220337259526487
300136.SZ,广东省,24.46071025192342,8.904458825841118,0.868666802583696
600885.SH,湖北省,23.901472356510098,4.875289031222279,0.9255251165140708
601398.SH,北京,28.207678304065944,0.6792023839725265,0.8830176062857714
3808.HK,山东省,24.61917777940249,1.6167077582571732,1.2074618047457737
600426.SH,山东省,24.06856093456597,1.993434431915713,1.3772793849297615
600837.SH,上海,25.554633033417037,1.1785295718941637,0.698674935863394
002714.SZ,河南省,26.3284361084911,11.763515700819013,4.892793344032382
0914.HK,安徽省,26.563568124369667,2.06058616278966,6.125676632362758
002157.SZ,江西省,24.555955855513762,4.916990295582128,1.1838909826508668
600176.SH,浙江省,24.138860627322543,1.945150476336893,0.5538017644238687
000002.SZ,广东省,26.398900163877084,1.5782019309516746,3.4507455463569388
300760.SZ,广东省,26.502864166157455,17.4058653155977,4.103198319761557
002643.SZ,山东省,23.37463187562898,2.941372784366107,0.5824778928245405
300207.SZ,广东省,23.940738402354828,4.3270123251901715,0.32801413071999713
002027.SZ,广东省,25.01904536704554,5.3264061612376885,0.10715344851347977
603993.SH,河南省,25.01953086546437,1.9321536292932249,0.09182253913737055
002405.SZ,北京,24.11698630000799,3.817726661136534,0.11448270701881093
002236.SZ,浙江省,24.67713828233449,3.3329188898130795,1.0620792495760287
600104.SH,上海,26.191568274024455,0.9493613262690678,1.5811577911440287
000069.SZ,广东省,24.694881713390668,0.7732023257931763,1.4605720921475194
2382.HK,浙江省,25.56670863302506,9.056037707307985,3.6388741319799784
000858.SZ,四川省,27.0416604239416,7.4663689932941955,4.799902619435164
601668.SH,北京,26.106837175720457,0.7857162453754079,0.9673724966573427
600570.SH,浙江省,25.14255623307018,18.539410502813435,1.2115965759004133
002555.SZ,安徽省,25.10755334414732,11.406681287197761,1.131121914444839
002415.SZ,浙江省,26.418831783398755,6.626245236158396,1.3242081232498568
601601.SH,上海,26.23971606065376,1.507903960723433,3.3822555727212538
002202.SZ,新疆维吾尔自治区,24.43927786307844,1.4241899639117968,0.680735025261005
002142.SZ,浙江省,25.783264256002393,1.8253279389612245,2.5456995594732708
000708.SZ,湖北省,25.11841997187643,3.2108021986131026,1.306120092028302
300012.SZ,广东省,24.091937895677596,9.227408787640794,0.26797659985322
000977.SZ,山东省,24.844522709152052,6.196437079029677,0.6751009953772183
601012.SH,陕西省,25.491293738994028,4.259575083457792,1.731747323072669
000878.SZ,云南省,23.541176442961316,1.9997089447677228,0.3631690932019523
002624.SZ,浙江省,24.79968294998699,6.193978501575448,1.2612444967250018
002367.SZ,江苏省,22.55769736314532,2.1244583477368835,0.28575698774020425
300014.SZ,广东省,24.906710038849052,8.684037340436634,1.6243151840561023
002078.SZ,山东省,23.82737028863069,1.5275616699571897,0.9005000580853307
300450.SZ,江苏省,24.262429514090318,8.038474021932537,0.7555247028386655
2601.HK,上海,26.33042882478748,1.1146305201567028,3.3822555727212538
300285.SZ,山东省,23.87433468747716,6.396308896672956,0.5146672379921886
603659.SH,上海,24.282098074629882,10.301517417040975,1.4130093311153011
600068.SH,湖北省,24.134394914666327,0.5767572455920708,1.1184783977328108
002705.SZ,广东省,23.902825691884388,5.590794266442394,0.901888101354795
601166.SH,福建省,26.55242761529182,0.6281836533801352,3.234542361019067
603259.SH,江苏省,25.86221814886802,9.88067173291983,1.0726699649343834
300271.SZ,北京,23.818679030954794,3.722004178992037,0.6121267980112494
000625.SZ,重庆,24.529091874210533,1.1649841409120543,0.016805489311811934
600406.SH,江苏省,25.24981281785694,3.0284910011648267,0.9394927655107851
600309.SH,山东省,25.713931964449532,3.470730014119768,2.774513331436573
600536.SH,北京,24.507821031266598,19.366329260143036,0.0077713681657508955
600763.SH,浙江省,24.436609038438682,22.958250402178205,1.0910080237961577
002410.SZ,北京,24.800988155070314,18.05041715758812,0.20582457661223935
002616.SZ,广东省,22.728286894185647,3.0831616131566166,0.4042215266316928
000999.SZ,广东省,24.071990702896976,2.2657405702017694,1.510839395729901
000725.SZ,北京,25.61425488759722,1.4130492632298948,0.041195528040337145
600170.SH,上海,24.0853844481899,0.8728180714238412,0.3073558426679478
600585.SH,安徽省,26.472855360235947,2.350543182349443,6.118685561660962
601222.SH,江苏省,22.93398975341113,0.8864686338110411,0.38522191886193546
002456.SZ,广东省,24.480648720544266,4.528715895741853,0.3344235233378781
0981.HK,上海,25.21008931983267,1.8300835675277853,0.04293361545626747
603444.SH,福建省,24.119776297332738,9.723159804094571,12.773239756785793
601658.SH,北京,26.785543476524484,0.9066148786366074,0.7186483475809858
603806.SH,浙江省,23.970830104820894,3.942936158541996,1.71435836427478
002273.SZ,浙江省,23.638220620387855,4.011852915288249,0.42093917811310694
000157.SZ,湖南省,24.693327679095713,1.3991705520101991,0.5582729982986758
002025.SZ,贵州省,23.19803881407516,3.918160567099443,0.9265072360839159
000913.SZ,浙江省,22.256931791724327,1.7178270724160665,0.5061207445274466
600466.SH,四川省,23.550018934710526,0.879103761352481,1.1531403349219136
300699.SZ,山东省,24.086859269787197,8.902462719191027,1.0319383901417962
3690.HK,北京,27.20064386134557,6.323719310332856,0.3842235196885993
600999.SH,广东省,25.44740148083402,1.4470379653200915,1.037841101259869
600690.SH,山东省,25.309332461311882,2.041316062514435,1.0852252794323745
603345.SH,福建省,23.936895413941826,9.064250217693251,1.676420755588256
300220.SZ,湖北省,22.60207418246099,24.70198627412322,0.05092372547619047
000895.SZ,河南省,25.68025318029448,8.622479579224409,1.6940348368151248
000028.SZ,广东省,23.522487664513513,1.3790154192028026,2.8494836234370213
600048.SH,广东省,25.968236266690194,1.2152790981470125,2.348030181836773
600009.SH,上海,25.61331516769204,4.154429829271251,1.9302915146564696
603658.SH,河南省,24.797094747353086,22.989213892488777,1.7329583335666299
603883.SH,湖南省,23.84770675690815,6.523141950106764,1.903003480599269
600674.SH,四川省,24.38803152862989,1.4393122329596535,0.6206907850064793
002376.SZ,山东省,22.63384201189871,1.8941547706778088,0.40131672538676844
300357.SZ,浙江省,24.063338511770457,22.203988989166625,0.5224139367704131
