fundCode,maxReduceCode,stockPrice,maxReduceShare,maxReduceVol
005662.OF,2328.HK,7.810894159151159,-954000.0,-7451593.027830206
005660.OF,002768.SZ,41.877496022887776,-9900.0,-414587.21062658896
005530.OF,601398.SH,5.371228928290378,-208600.0,-1120438.354441373
005402.OF,000708.SZ,23.779176284137037,-46800.0,-1112865.4500976133
005303.OF,600529.SH,35.47620236459999,-713560.0,-25314398.95928397
005259.OF,2020.HK,62.8117931832924,-53000.0,-3329025.0387144974
005235.OF,600887.SH,29.8179117828479,-19438.0,-579600.5692349975
005209.OF,002675.SZ,15.679047024511284,-197400.0,-3095043.8826385275
005189.OF,019611.SH,100.013,-4060.0,-406052.78
005161.OF,000878.SZ,11.11550207026749,-40000.0,-444620.08281069965
005106.OF,300498.SZ,32.954386614078906,-446096.0,-14700820.050994143
005037.OF,601877.SH,26.31495044981994,-25725.0,-676952.1003216179
005009.OF,300014.SZ,63.46929175054703,-177800.0,-11284840.073247261
004805.OF,300122.SZ,65.97378794218913,-3000.0,-197921.3638265674
004784.OF,300601.SZ,111.59605713413568,-45000.0,-5021822.571036105
004716.OF,601166.SH,17.24897912948752,-48300.0,-833125.6919542472
004698.OF,600855.SH,19.780126581912775,-84700.0,-1675376.721488012
004683.OF,603456.SH,19.697349908490423,-19600.0,-386068.0582064123
004616.OF,300590.SZ,46.532967290474346,-752700.0,-35025364.47954004
004450.OF,0268.HK,10.271682854967613,-3205000.0,-32920743.5501712
004352.OF,300033.SZ,119.05041201168383,-4200.0,-500011.7304490721
004350.OF,600201.SH,21.931738327001128,-53100.0,-1164575.30516376
004292.OF,1797.HK,30.526735413949496,-55000.0,-1678970.4477672223
003853.OF,000063.SZ,43.28612087575574,-383862.0,-16615896.931609351
003634.OF,000876.SZ,26.90406405320675,-633336.0,-17039312.31120175
003624.OF,601088.SH,16.58516415119228,-46700.0,-774527.1658606795
003416.OF,000333.SZ,53.3418971100258,-800.0,-42673.51768802064
003232.OF,600837.SH,14.208630510884369,-9000.0,-127877.67459795933
003053.OF,600050.SH,5.56343005657522,-492800.0,-2741658.3318802686
002980.OF,600867.SH,12.3219805609262,-162700.0,-2004786.2372626928
002621.OF,603345.SH,76.76439982789472,-17200.0,-1320347.6770397893
002332.OF,1299.HK,73.37529898003221,-80400.0,-5899374.03799459
002289.OF,000725.SZ,4.578875304283513,-800000.0,-3663100.2434268105
002210.OF,018007.SH,100.7,-60000.0,-6042000.0
001956.OF,600845.SH,45.605723247746624,-294020.0,-13408994.749302462
001781.OF,002123.SZ,17.81642814996893,-23500.0,-418686.06152426987
001749.OF,002273.SZ,15.981368231697253,-919100.0,-14688475.541752946
001736.OF,002179.SZ,36.982365069239336,-267758.0,-9902324.106209386
001726.OF,000568.SZ,79.41784381193062,-175000.0,-13898122.667087859
001714.OF,000002.SZ,28.285281651914918,-637134.0,-18021514.640011158
001707.OF,600673.SH,8.492576160289621,-2075500.0,-17626341.82068111
001703.OF,603517.SH,45.4964122193636,-107649.0,-4897643.279002272
001696.OF,600745.SH,116.88663577336756,-50000.0,-5844331.788668378
001685.OF,1398.HK,5.307624007018767,-299000.0,-1586979.5780986112
001651.OF,000895.SZ,35.87950753340398,-179100.0,-6426019.799232653
001645.OF,002683.SZ,27.343336004312885,-642300.0,-17562624.715570167
001637.OF,000031.SZ,5.9149016655631765,-420900.0,-2489582.111035541
001626.OF,002050.SZ,20.193261947637573,-134600.0,-2718013.058152017
001616.OF,600438.SH,14.239408824454946,-2396301.0,-34121909.60545021
001521.OF,300207.SZ,18.165066647810974,-40000.0,-726602.665912439
001490.OF,000961.SZ,8.624259795120512,-500000.0,-4312129.897560256
001416.OF,300012.SZ,16.23250706701288,-2966900.0,-48160225.21712051
001409.OF,601012.SH,28.799692652592277,-1244469.0,-35840324.715678856
001404.OF,002410.SZ,43.43584859270453,-149100.0,-6476285.025172246
001396.OF,002624.SZ,48.21036718141342,-440103.0,-21217527.22764159
001319.OF,300782.SZ,516.1630543434502,-34900.0,-18014090.596586414
001277.OF,000425.SZ,5.5071930294383105,-3212700.0,-17692959.04567646
001236.OF,600426.SH,17.599050100332377,-1193300.0,-21000946.484726626
001230.OF,300651.SZ,26.13387327411819,-645080.0,-16858438.97166816
001223.OF,002555.SZ,33.96026140854096,-144400.0,-4903861.747393315
001195.OF,002311.SZ,37.609524374724046,-779920.0,-29332420.250334777
001166.OF,000968.SZ,9.028031437604332,-3099909.0,-27986075.90571261
