,股票代码,股票简称,基本每股收益(元)2019.03.31,基本每股收益(元)2018.12.31,基本每股收益(元)2018.09.30,基本每股收益(元)2018.06.30,基本每股收益(元)2017.12.31,账面市值比(%)2019.05.10,总市值(元)2019.05.10,城市,省份
75,000402.SZ,金融街,0.2,1.09,0.35,0.29,1.01,0.92,23672324863,西城区,北京市
76,000403.SZ,振兴生化,0.09,0.29,0.29,0.24,0.14,-0.04,8256375474,太原市,山西省
77,000404.SZ,长虹华意,0.02,0.1,0.09,0.09,0.15,0.87,3125021946,景德镇市,江西省
78,000407.SZ,胜利股份,0.04,0.12,0.1,0.08,0.07,0.58,3661152169,济南市,山东省
79,000408.SZ,藏格控股,0.06,0.65,0.38,0.22,0.61,0.57,18701651916,海西蒙古族藏族自治州,青海省
80,000409.SZ,*ST地矿,-0.09,0.06,0.1,-0.35,-0.44,0.42,2891870354,济南市,山东省
81,000410.SZ,沈阳机床,-0.59,-1.03,-0.23,0.03,0.15,0.1,5610901580,沈阳市,辽宁省
82,000411.SZ,英特集团,0.15,0.45,0.36,0.24,0.4,0.11,2713445294,杭州市,浙江省
83,000413.SZ,东旭光电,0.08,0.38,0.23,0.15,0.33,0.86,32723628309,石家庄市,河北省
84,000415.SZ,渤海租赁,0.21,0.37,0.39,0.21,0.43,1,25851298959,乌鲁木齐市,新疆维吾尔自治区
85,000416.SZ,民生控股,0.01,0.04,0.03,0.01,0.05,0.28,3090173380,青岛市,山东省
86,000417.SZ,合肥百货,0.15,0.29,0.22,0.21,0.27,0.71,4187978154,合肥市,安徽省
87,000418.SZ,小天鹅A,0.95,2.94,2.13,1.43,2.38,0.18,33873334945,无锡市,江苏省
88,000419.SZ,通程控股,0.08,0.26,0.2,0.15,0.24,1.06,2609196744,长沙市,湖南省
89,000420.SZ,吉林化纤,0.01,0.07,0.07,0.04,0.04,0.64,4729695974,吉林市,吉林省
90,000421.SZ,南京公用,0.01,0.25,0.21,0.15,0.26,0.8,2742978814,南京市,江苏省
91,000422.SZ,ST宜化,0,0.23,0.3,0.2,-5.74,0.2,3232320163,宜昌市,湖北省
92,000423.SZ,东阿阿胶,0.6,3.19,1.87,1.32,3.13,0.44,26847584094,聊城市,山东省
93,000425.SZ,徐工机械,0.13,0.26,0.2,0.15,0.14,0.7,35173171251,徐州市,江苏省
94,000426.SZ,兴业矿业,-0.02,-0.09,0.3,0.2,0.3,0.38,10052532997,赤峰市,内蒙古自治区
95,000428.SZ,华天酒店,-0.07,-0.47,-0.2,-0.14,0.11,0.94,2985453180,长沙市,湖南省
96,000429.SZ,粤高速A,0.17,0.8,0.58,0.37,0.72,0.61,16358850003,广州市,广东省
97,000430.SZ,张家界,-0.02,0.07,0.14,0.05,0.19,0.65,2275075395,张家界市,湖南省
98,000488.SZ,晨鸣纸业,-0.04,0.51,0.54,0.36,1.7,1.34,13154127235,潍坊市,山东省
99,000498.SZ,山东路桥,0.09,0.59,0.31,0.12,0.51,0.58,6160764847,济南市,山东省
100,000501.SZ,鄂武商A,0.39,1.39,1.04,0.77,1.66,0.91,8751137279,武汉市,湖北省
101,000502.SZ,绿景控股,0,0.42,0.23,-0.13,-0.45,0.13,1515520777,广州市,广东省
102,000503.SZ,国新健康,-0.06,-0.21,-0.13,-0.1,0.02,0.04,18667659188,海口市,海南省
103,000504.SZ,*ST生物,-0.02,-0.11,-0.07,-0.05,-0.12,0,4240520793,长沙市,湖南省
104,000505.SZ,京粮控股,0.04,0.24,0.15,0.09,0.2,0.44,4438647126,海口市,海南省
105,000506.SZ,中润资源,0.03,0.05,0.01,-0.03,-0.48,0.34,3047178256,济南市,山东省
106,000507.SZ,珠海港,0.01,0.21,0.18,0.15,0.18,0.36,5266237930,珠海市,广东省
107,000509.SZ,华塑控股,0,-0.07,-0.01,-0.01,0.02,0,2426920364,南充市,四川省
108,000510.SZ,金路集团,0.04,0.16,0.14,0.12,0.11,0.33,2893615707,德阳市,四川省
109,000513.SZ,丽珠集团,0.55,1.51,1.31,0.88,8.09,0.34,21562412931,珠海市,广东省
110,000514.SZ,渝开发,0.02,0.03,0.01,0.02,0.1,0.66,4277918793,渝中区,重庆市
111,000516.SZ,国际医学,0.01,1.11,1.13,1.12,0.1,0.47,11175849542,西安市,陕西省
112,000517.SZ,荣安地产,0.18,0.19,0.13,0.05,0.17,0.4,10634301100,宁波市,浙江省
113,000518.SZ,四环生物,-0.01,-0.03,-0.01,0,0.01,0.15,4004973704,无锡市,江苏省
114,000519.SZ,中兵红箭,0.05,0.25,0.19,0.11,0.09,0.63,10430266775,湘潭市,湖南省
115,000520.SZ,长航凤凰,0.01,0.06,0.06,0.05,0.05,0.07,3441083747,武汉市,湖北省
116,000521.SZ,长虹美菱,0.06,0.04,0.06,0.05,0.03,1.37,3733243424,合肥市,安徽省
117,000523.SZ,广州浪奇,0.02,0.05,0.03,0.03,0.08,0.53,3652242788,广州市,广东省
118,000524.SZ,岭南控股,0.17,0.31,0.24,0.15,0.28,0.47,5529220925,广州市,广东省
119,000525.SZ,红太阳,0.21,1.1,0.93,0.66,1.2,0.43,7921741988,南京市,江苏省
120,000526.SZ,紫光学大,0.03,0.13,0.71,1.05,0.25,-0.11,2047031877,厦门市,福建省
121,000528.SZ,柳工,0.21,0.54,0.64,0.53,0.29,0.88,10230238565,柳州市,广西壮族自治区
122,000529.SZ,广弘控股,0.05,0.29,0.18,0.1,0.27,0.34,3835502468,广州市,广东省
123,000530.SZ,大冷股份,0.13,0.13,0.09,0.07,0.23,1.05,3221478593,大连市,辽宁省
124,000531.SZ,穗恒运A,0.12,0.12,0.11,0.06,0.27,0.57,5686187406,广州市,广东省
125,000532.SZ,华金资本,0.01,0.16,0.06,0.04,0.14,0.17,3622884653,珠海市,广东省
126,000533.SZ,顺钠股份,-0.01,-1.4,-0.03,0.02,0.06,0.08,2238243840,佛山市,广东省
127,000534.SZ,万泽股份,0.04,0.12,0.03,0.05,0.18,0.22,4844083196,汕头市,广东省
128,000536.SZ,华映科技,-0.13,-1.8,-0.17,-0.1,0.07,1.5,7910853817,福州市,福建省
129,000537.SZ,广宇发展,0.31,1.34,1.24,0.9,1.29,0.54,13931654986,滨海新区,天津市
130,000538.SZ,云南白药,0.81,3.18,2.62,1.57,3.02,0.08,83322391437,昆明市,云南省
131,000539.SZ,粤电力A,0.02,0.09,0.18,0.09,0.14,1.13,21148188635,广州市,广东省
132,000540.SZ,中天金融,0.13,0.21,0.68,0.68,0.45,0.36,29562174745,贵阳市,贵州省
133,000541.SZ,佛山照明,0.06,0.27,0.23,0.16,0.58,0.61,7283664702,佛山市,广东省
134,000543.SZ,皖能电力,0.08,0.31,0.17,0.08,0.07,1.12,8790844252,合肥市,安徽省
135,000544.SZ,中原环保,0.06,0.43,0.28,0.18,0.5,1.01,5750638479,郑州市,河南省
136,000545.SZ,金浦钛业,0.03,0.1,0.08,0.06,0.17,0.62,3700624110,吉林市,吉林省
137,000546.SZ,金圆股份,0.01,0.52,0.52,0.24,0.55,0.5,7153590404,长春市,吉林省
138,000547.SZ,航天发展,0.06,0.31,0.17,0.12,0.19,0.33,16137072754,福州市,福建省
139,000548.SZ,湖南投资,0.01,0.08,0.05,0.04,0.26,0.7,2326345679,长沙市,湖南省
140,000550.SZ,江铃汽车,0.03,0.11,0.25,0.37,0.8,0.71,15887996828,南昌市,江西省
141,000551.SZ,创元科技,0.05,0.22,0.2,0.13,0.17,0.46,2688540322,苏州市,江苏省
142,000552.SZ,靖远煤电,0.07,0.25,0.22,0.15,0.24,1.15,6632216045,白银市,甘肃省
143,000553.SZ,安道麦A,0.15,0.98,1.04,0.97,0.66,0.79,24770219265,荆州市,湖北省
144,000554.SZ,泰山石油,0,0,0,0,0.01,0.34,2947263052,泰安市,山东省
145,000555.SZ,神州信息,0.04,0.04,0.31,0.26,0.31,0.29,10857870447,深圳市,广东省
146,000557.SZ,西部创业,0.02,0.1,0.06,0.03,0.06,0.78,5950168919,银川市,宁夏回族自治区
147,000558.SZ,莱茵体育,-0.02,-0.05,0.02,0.02,0.02,0.31,4718559653,杭州市,浙江省
148,000559.SZ,万向钱潮,0.08,0.26,0.21,0.16,0.32,0.26,18033194424,杭州市,浙江省
149,000560.SZ,我爱我家,0.09,0.27,0.22,0.14,0.06,0.63,13944565038,昆明市,云南省
150,000561.SZ,烽火电子,-0.03,0.15,0.01,0.03,0.12,0.31,4238893170,宝鸡市,陕西省
151,000563.SZ,陕国投A,0.06,0.09,0.07,0.07,0.11,0.18,17996618321,西安市,陕西省
152,000564.SZ,供销大集,-0.02,0.13,0.13,0.07,0.24,1.46,18924658928,西安市,陕西省
153,000565.SZ,渝三峡A,0.03,0.1,0.1,0.06,0.19,0.43,2449796043,江津区,重庆市
154,000566.SZ,海南海药,0.05,0.09,0.17,0.12,0.06,0.45,9285055885,海口市,海南省
155,000567.SZ,海德股份,0.08,0.33,0.22,0.17,0.48,0.77,5305977324,海口市,海南省
156,000568.SZ,泸州老窖,1.03,2.38,1.88,1.34,1.8,0.16,1.05184E+11,泸州市,四川省
157,000570.SZ,苏常柴A,0,0.11,0.04,0.03,0.08,0.87,2381797232,常州市,江苏省
158,000571.SZ,*ST大洲,-0.04,-1.08,-0.02,0.04,0.03,0.92,2092144480,海口市,海南省
159,000572.SZ,*ST海马,-0.03,-1,-0.29,-0.17,-0.6,1.82,3519521952,海口市,海南省
160,000573.SZ,粤宏远A,0.13,0.08,-0.07,-0.05,0.06,0.64,2297302838,东莞市,广东省
161,000576.SZ,广东甘化,0.06,0.22,-0.09,-0.08,-0.64,0.25,4291326230,江门市,广东省
162,000581.SZ,威孚高科,0.68,2.37,2.04,1.53,2.55,0.8,18655786768,无锡市,江苏省
163,000582.SZ,北部湾港,0.13,0.46,0.36,0.24,0.44,0.51,14466359158,北海市,广西壮族自治区
164,000584.SZ,哈工智能,0.02,0.2,0.16,0.11,0.15,0.3,4673531463,无锡市,江苏省
165,000585.SZ,*ST东电,-0.01,0.02,0.01,-0.02,-0.45,-0.05,1778665626,海口市,海南省
166,000586.SZ,汇源通信,-0.01,-0.02,-0.01,-0.02,0,0.07,2122036800,成都市,四川省
167,000587.SZ,金洲慈航,-0.38,-1.45,-0.08,0.04,0.48,1.5,5564223245,伊春市,黑龙江省
168,000589.SZ,贵州轮胎,0.05,0.11,0.08,0.04,-0.29,0.8,4063432953,贵阳市,贵州省
169,000590.SZ,启迪古汉,0.05,-0.16,-0.05,0.01,0.08,0.16,3302308772,衡阳市,湖南省
170,000591.SZ,太阳能,0.04,0.29,0.24,0.15,0.27,1.32,10494772132,渝中区,重庆市
171,000592.SZ,平潭发展,0,0.01,0.04,0.01,0,0.44,7418038625,福州市,福建省
172,000593.SZ,大通燃气,0,-0.52,0.05,0.03,0.07,0.45,2241443806,成都市,四川省
173,000595.SZ,宝塔实业,-0.03,-0.13,-0.01,0.01,0.02,0.24,2598549450,银川市,宁夏回族自治区
174,000596.SZ,古井贡酒,1.56,3.37,2.49,1.77,2.28,0.16,48045489160,亳州市,安徽省
175,000597.SZ,东北制药,0.1,0.36,0.3,0.23,0.25,0.5,7474620687,沈阳市,辽宁省
176,000598.SZ,兴蓉环境,0.09,0.33,0.28,0.18,0.3,0.55,13557432453,成都市,四川省
