,fundCode,fundName,manager,maxReduceCode,maxReduceShare
201,005210.OF,东吴双三角C,彭敢,002675.SZ,-197400.0
202,005209.OF,东吴双三角A,彭敢,002675.SZ,-197400.0
203,005189.OF,海富通量化前锋A,杜晓海,019611.SH,-4060.0
204,005188.OF,海富通量化前锋C,杜晓海,019611.SH,-4060.0
205,005161.OF,华商上游产业,童立,000878.SZ,-40000.0
206,005106.OF,银华农业产业,王翔,300498.SZ,-446096.0
207,005038.OF,银华新能源新材料量化C,李宜璇,601877.SH,-25725.0
208,005037.OF,银华新能源新材料量化A,李宜璇,601877.SH,-25725.0
209,005036.OF,银华信息科技量化C,李宜璇,600570.SH,-4619.0
210,005035.OF,银华信息科技量化A,李宜璇,600570.SH,-4619.0
211,005034.OF,银华智能汽车C,马君,000338.SZ,-19303.0
212,005033.OF,银华智能汽车A,马君,000338.SZ,-19303.0
213,005009.OF,申万菱信行业轮动,林博程,300014.SZ,-177800.0
215,004995.OF,广发品牌消费,孙迪,600519.SH,-100.0
216,004925.OF,长信低碳环保行业量化,左金保,002080.SZ,-220000.0
219,004858.OF,长信量化多策略C,左金保,000001.SZ,-22500.0
220,004851.OF,广发医疗保健A,吴兴武,000661.SZ,202320.0
223,004805.OF,长信消费精选行业量化,左金保,300122.SZ,-3000.0
224,004784.OF,招商稳健优选,钟贇,300601.SZ,-45000.0
225,004730.OF,建信量化事件驱动,薛玲,601318.SH,-17692.0
226,004716.OF,信诚量化阿尔法,提云涛,601166.SH,-48300.0
227,004698.OF,博时军工主题,兰乔,600855.SH,-84700.0
228,004686.OF,华夏研究精选,林晶,600837.SH,-488600.0
229,004683.OF,建信高端医疗,潘龙玲,603456.SH,-19600.0
230,004640.OF,华夏节能环保,吕佳玮,600031.SH,-255000.0
231,004616.OF,中欧电子信息产业A,刘晨,300590.SZ,-752700.0
232,004606.OF,上投摩根优选多因子,施虓文,601398.SH,-44300.0
233,004485.OF,泰达宏利业绩驱动C,刘洋,601318.SH,-22900.0
234,004484.OF,泰达宏利业绩驱动A,刘洋,601318.SH,-22900.0
235,004476.OF,景顺长城沪港深领先科技,詹成,2382.HK,6500.0
